modelo;Exactitud;Precisión;Sensibilidad;Puntaje de F1;TN;FP;FN;TP;FPR;TPR
modelo_entrenado_KNeighborsClassifier_tipo1_spicy;0.864406779661017;0.8181818181818182;0.9310344827586207;0.8709677419354839;24;6;2;27;0.2;0.9310344827586207
modelo_entrenado_KNeighborsClassifier_tipo2_spicy;0.8983050847457628;0.8709677419354839;0.9310344827586207;0.9;26;4;2;27;0.13333333333333333;0.9310344827586207
modelo_entrenado_KNeighborsClassifier_tipo3_spicy;0.8305084745762712;0.8064516129032258;0.8620689655172413;0.8333333333333334;24;6;4;25;0.2;0.8620689655172413
modelo_entrenado_KNeighborsClassifier_tipo4_spicy;0.864406779661017;0.8387096774193549;0.896551724137931;0.8666666666666666;25;5;3;26;0.16666666666666666;0.896551724137931
modelo_entrenado_KNeighborsClassifier_tipo5_spicy;0.8305084745762712;0.8518518518518519;0.7931034482758621;0.8214285714285715;26;4;6;23;0.13333333333333333;0.7931034482758621
modelo_entrenado_KNeighborsClassifier_tipo6_spicy;0.8813559322033898;0.8928571428571429;0.8620689655172413;0.8771929824561403;27;3;4;25;0.1;0.8620689655172413
modelo_entrenado_KNeighborsClassifier_tipo1_Pythorch;0.576271186440678;0.5625;0.6206896551724138;0.5901639344262296;16;14;11;18;0.4666666666666667;0.6206896551724138
modelo_entrenado_KNeighborsClassifier_tipo2_Pythorch;0.5254237288135594;0.5161290322580645;0.5517241379310345;0.5333333333333333;15;15;13;16;0.5;0.5517241379310345
modelo_entrenado_KNeighborsClassifier_tipo3_Pythorch;0.6271186440677966;0.6296296296296297;0.5862068965517241;0.6071428571428571;20;10;12;17;0.3333333333333333;0.5862068965517241
modelo_entrenado_KNeighborsClassifier_tipo4_Pythorch;0.6949152542372882;0.6896551724137931;0.6896551724137931;0.6896551724137931;21;9;9;20;0.3;0.6896551724137931
modelo_entrenado_KNeighborsClassifier_tipo5_Pythorch;0.7288135593220338;0.7096774193548387;0.7586206896551724;0.7333333333333333;21;9;7;22;0.3;0.7586206896551724
modelo_entrenado_KNeighborsClassifier_tipo6_Pythorch;0.6779661016949152;0.6785714285714286;0.6551724137931034;0.6666666666666666;21;9;10;19;0.3;0.6551724137931034
