modelo;Exactitud;Precisión;Sensibilidad;Puntaje de F1;TN;FP;FN;TP;FPR;TPR
modelo_entrenado_DecisionTreeClassifier_tipo1_spicy;0.7796610169491526;0.7666666666666667;0.7931034482758621;0.7796610169491527;23;7;6;23;0.26666666666666666;0.7586206896551724
modelo_entrenado_DecisionTreeClassifier_tipo2_spicy;0.8135593220338984;0.8;0.8275862068965517;0.8135593220338982;24;6;5;24;0.23333333333333334;0.6206896551724138
modelo_entrenado_DecisionTreeClassifier_tipo3_spicy;0.7627118644067796;0.7142857142857143;0.8620689655172413;0.7812500000000001;20;10;4;25;0.26666666666666666;0.7931034482758621
modelo_entrenado_DecisionTreeClassifier_tipo4_spicy;0.8305084745762712;0.8064516129032258;0.8620689655172413;0.8333333333333334;24;6;4;25;0.2;0.8620689655172413
modelo_entrenado_DecisionTreeClassifier_tipo5_spicy;0.7457627118644068;0.71875;0.7931034482758621;0.7540983606557378;21;9;6;23;0.3;0.7931034482758621
modelo_entrenado_DecisionTreeClassifier_tipo6_spicy;0.847457627118644;0.8571428571428571;0.8275862068965517;0.8421052631578947;26;4;5;24;0.13333333333333333;0.7241379310344828
modelo_entrenado_DecisionTreeClassifier_tipo1_Pythorch;0.6779661016949152;0.6666666666666666;0.6896551724137931;0.6779661016949153;20;10;9;20;0.3333333333333333;0.5862068965517241
modelo_entrenado_DecisionTreeClassifier_tipo2_Pythorch;0.7796610169491526;0.8636363636363636;0.6551724137931034;0.7450980392156864;27;3;10;19;0.06666666666666667;0.6551724137931034
modelo_entrenado_DecisionTreeClassifier_tipo3_Pythorch;0.8813559322033898;0.8666666666666667;0.896551724137931;0.8813559322033899;26;4;3;26;0.13333333333333333;0.7586206896551724
modelo_entrenado_DecisionTreeClassifier_tipo4_Pythorch;0.6779661016949152;0.6785714285714286;0.6551724137931034;0.6666666666666666;21;9;10;19;0.3333333333333333;0.6551724137931034
modelo_entrenado_DecisionTreeClassifier_tipo5_Pythorch;0.6440677966101694;0.6333333333333333;0.6551724137931034;0.6440677966101694;19;11;10;19;0.36666666666666664;0.5862068965517241
modelo_entrenado_DecisionTreeClassifier_tipo6_Pythorch;0.6271186440677966;0.6296296296296297;0.5862068965517241;0.6071428571428571;20;10;12;17;0.3;0.5172413793103449
