modelo;Exactitud;Precisión;Sensibilidad;Puntaje de F1;TN;FP;FN;TP;FPR;TPR
modelo_entrenado_RandomForest_tipo1_spicy;0.7966101694915254;0.7428571428571429;0.896551724137931;0.8125;21;9;3;26;0.0;0.2413793103448276
modelo_entrenado_RandomForest_tipo2_spicy;0.7966101694915254;0.7428571428571429;0.896551724137931;0.8125;21;9;3;26;0.0;0.13793103448275862
modelo_entrenado_RandomForest_tipo3_spicy;0.8135593220338984;0.78125;0.8620689655172413;0.8196721311475409;23;7;4;25;0.0;0.20689655172413793
modelo_entrenado_RandomForest_tipo4_spicy;0.7796610169491526;0.7352941176470589;0.8620689655172413;0.7936507936507937;21;9;4;25;0.0;0.034482758620689655
modelo_entrenado_RandomForest_tipo5_spicy;0.7796610169491526;0.7222222222222222;0.896551724137931;0.7999999999999999;20;10;3;26;0.0;0.06896551724137931
modelo_entrenado_RandomForest_tipo6_spicy;0.8135593220338984;0.78125;0.8620689655172413;0.8196721311475409;23;7;4;25;0.0;0.20689655172413793
modelo_entrenado_RandomForest_tipo1_Pythorch;0.711864406779661;0.6578947368421053;0.8620689655172413;0.746268656716418;17;13;4;25;0.0;0.034482758620689655
modelo_entrenado_RandomForest_tipo2_Pythorch;0.6949152542372882;0.6774193548387096;0.7241379310344828;0.7;20;10;8;21;0.0;0.034482758620689655
modelo_entrenado_RandomForest_tipo3_Pythorch;0.6949152542372882;0.6666666666666666;0.7586206896551724;0.7096774193548386;19;11;7;22;0.0;0.10344827586206896
modelo_entrenado_RandomForest_tipo4_Pythorch;0.6949152542372882;0.6666666666666666;0.7586206896551724;0.7096774193548386;19;11;7;22;0.03333333333333333;0.20689655172413793
modelo_entrenado_RandomForest_tipo5_Pythorch;0.6949152542372882;0.6666666666666666;0.7586206896551724;0.7096774193548386;19;11;7;22;0.0;0.034482758620689655
modelo_entrenado_RandomForest_tipo6_Pythorch;0.6779661016949152;0.6470588235294118;0.7586206896551724;0.6984126984126984;18;12;7;22;0.0;0.034482758620689655
